A,01-Jan-2014,57.19,57.19,57.19,57.19,0
AA,01-Jan-2014,10.63,10.63,10.63,10.63,0
AAN,01-Jan-2014,29.4,29.4,29.4,29.4,0
AAP,01-Jan-2014,110.68,110.68,110.68,110.68,0
AAT,01-Jan-2014,31.43,31.43,31.43,31.43,0
AAV,01-Jan-2014,4.34,4.34,4.34,4.34,0
AB,01-Jan-2014,21.34,21.34,21.34,21.34,0
ABB,01-Jan-2014,26.56,26.56,26.56,26.56,0
ABBV,01-Jan-2014,52.81,52.81,52.81,52.81,0
ABC,01-Jan-2014,70.31,70.31,70.31,70.31,0
