A|01-Jan-2014|57.19
AA|01-Jan-2014|10.63
AAN|01-Jan-2014|29.4
AAP|01-Jan-2014|110.68
AAT|01-Jan-2014|31.43
AAV|01-Jan-2014|4.34
AB|01-Jan-2014|21.34
ABB|01-Jan-2014|26.56
ABBV|01-Jan-2014|52.81
ABC|01-Jan-2014|70.31
